,player,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,TB,GIDP,HBP,SH,SF,IBB,notes
0,Kenta Chatani,24,57,156,137,17,34,5,1,1,9,1,3,12,33,.248,.322,.321,.644,44,3,3,4,0,0,
1,Yudai Fujioka*,28,28,81,68,4,12,2,0,0,1,0,0,7,17,.177,.250,.206,.456,14,0,0,5,1,0,
2,Kyota Fujiwara*,22,49,126,115,10,24,2,0,1,5,9,0,9,23,.209,.272,.252,.524,29,1,1,1,0,1,
3,Koki Fukuda*,24,13,22,18,0,3,1,0,0,1,0,0,4,3,.167,.318,.222,.540,4,0,0,0,0,0,
4,Shuhei Fukuda*,33,20,48,41,3,7,1,0,0,4,1,0,7,13,.171,.292,.195,.487,8,0,0,0,0,0,
5,Adeiny Hechavarria,33,76,257,243,19,54,13,0,2,20,4,0,10,48,.222,.251,.300,.551,73,5,0,2,2,0,
6,Taiga Hirasawa*,24,13,32,27,3,4,0,0,0,3,1,0,4,4,.148,.250,.148,.398,4,0,0,0,1,0,
7,Raito Ikeda,22,11,22,22,1,2,1,0,0,0,0,0,0,6,.091,.091,.136,.227,3,0,0,0,0,0,
8,Seiya Inoue,32,60,232,199,23,49,14,0,7,34,0,0,29,54,.246,.345,.422,.767,84,2,2,0,2,0,
9,Ayumu Ishikawa,34,20,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,
10,Tomoya Kakinuma,29,34,23,19,1,3,0,0,0,0,0,0,0,4,.158,.158,.158,.316,3,1,0,4,0,0,
11,Katsuya Kakunaka*,35,53,138,129,10,33,4,0,1,11,1,2,9,35,.256,.304,.310,.614,40,0,0,0,0,0,
12,Takuma Katoh,30,24,10,9,2,1,1,0,0,0,0,0,0,3,.111,.111,.222,.333,2,0,0,1,0,0,
13,Tokito Kawamura,25,4,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,
14,Brandon Laird,34,112,396,365,24,69,9,0,15,48,0,0,19,92,.189,.237,.337,.574,123,9,6,0,6,2,
15,Leonys Martín*,34,68,266,221,22,36,7,0,9,25,5,2,31,76,.163,.293,.317,.610,70,1,11,0,3,2,
16,Kou Matsukawa,18,76,212,185,12,32,5,0,0,14,1,0,18,60,.173,.245,.200,.445,37,7,0,8,1,0,
17,Ryo Miki,30,46,34,25,2,4,0,0,0,1,1,0,1,8,.160,.222,.160,.382,4,0,1,7,0,0,
18,Manabu Mima*,35,20,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
19,Fumiya Motomae*,24,12,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,
20,Shogo Nakamura,30,138,596,498,52,128,31,0,12,68,15,6,70,86,.257,.354,.392,.746,195,13,10,9,9,3,
21,Kenji Nishimaki,23,2,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,0,0,0,
22,Ryusei Ogawa*,24,68,76,55,15,6,1,0,1,4,4,1,12,18,.109,.275,.182,.457,10,0,1,7,1,0,
23,Takashi Ogino,36,89,373,326,51,101,18,4,5,27,15,3,30,30,.310,.375,.436,.811,142,7,7,5,5,0,
24,Kazuya Ojima*,25,24,3,2,0,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,0,0,0,0,0,0,
25,Hiromi Oka,30,98,248,207,29,45,11,2,6,19,12,0,24,56,.217,.321,.377,.698,78,4,9,5,3,0,
26,Roki Sasaki,20,20,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
27,Shoma Sato*,24,11,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,
28,Toshiya Satoh*,24,118,402,359,35,77,10,1,8,31,5,1,21,63,.215,.260,.315,.574,113,11,3,13,6,1,
29,Tsuyoshi Sugano*,29,41,93,86,6,18,6,0,1,6,0,0,7,20,.209,.269,.314,.583,27,1,0,0,0,0,
30,Akito Takabe*,24,137,608,541,66,148,16,6,3,38,44,10,36,103,.274,.324,.342,.666,185,12,6,22,3,1,
31,Tatsuhiro Tamura,28,2,5,5,1,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,
32,Koshiro Wada*,23,69,33,28,20,5,1,0,0,1,11,7,3,12,.179,.281,.214,.496,6,0,1,1,0,1,
33,Koki Yamaguchi,21,102,349,321,40,76,14,0,16,57,1,0,23,84,.237,.295,.430,.725,138,8,4,0,1,0,
34,Daito Yamamoto,19,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,
35,Hisanori Yasuda*,23,119,440,388,33,102,23,1,9,47,1,2,45,86,.263,.343,.397,.740,154,10,4,0,3,0,
