,player,age,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls,notes
0,Yusuke Azuma,26,0,0,,6.75,3,,,0,0,0,4.0,9,4,3,2,2,0,1,0,0,1,21,2.750,20.3,4.5,4.5,2.3,0.50,
1,Seiya Dohi*,26,1,0,1.000,0.00,1,,,0,0,0,1.0,2,0,0,0,1,0,0,0,0,0,6,3.000,18.0,0.0,9.0,0.0,0.00,
2,Kota Futaki,26,2,4,.333,4.18,9,,,0,0,0,47.1,48,24,22,6,20,1,42,3,0,4,208,1.437,9.1,1.1,3.8,8.0,2.10,
3,Tayron Guerrero,31,3,3,.500,3.52,49,,,0,0,3,46.0,34,19,18,2,20,1,63,5,0,3,194,1.174,6.7,0.4,3.9,12.3,3.15,
4,Atsuya Hirohata,24,0,1,.000,4.91,30,,,0,0,0,36.2,48,25,20,5,15,2,29,2,0,2,171,1.718,11.8,1.2,3.7,7.1,1.93,
5,Ayumu Ishikawa,34,7,7,.500,2.93,20,,,0,0,0,123.0,128,48,40,12,20,3,67,4,0,0,504,1.203,9.4,0.9,1.5,4.9,3.35,
6,Daiki Iwashita,25,1,0,1.000,0.55,14,,,0,0,0,16.1,6,1,1,1,8,1,9,0,0,1,61,0.857,3.3,0.6,4.4,5.0,1.13,
7,Yuki Karakawa,32,2,1,.667,5.28,17,,,0,0,0,15.1,14,9,9,3,2,0,8,1,0,0,63,1.043,8.2,1.8,1.2,4.7,4.00,
8,Tokito Kawamura,25,2,0,1.000,3.32,4,,,0,0,0,19.0,18,7,7,1,10,0,9,0,0,1,82,1.474,8.5,0.5,4.7,4.3,0.90,
9,Yuki Kuniyoshi,30,0,0,,1.80,6,,,0,0,0,5.0,5,1,1,0,3,0,4,0,0,1,22,1.600,9.0,0.0,5.4,7.2,1.33,
10,Naoya Masuda,32,1,2,.333,3.29,52,,,0,0,25,52.0,46,21,19,6,19,3,47,3,0,8,224,1.250,8.0,1.0,3.3,8.1,2.47,
