,player,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,TB,GIDP,HBP,SH,SF,IBB,notes
0,Kenji Akashi*,36,22,35,30,2,5,0,1,0,3,0,0,3,5,.167,.242,.233,.476,7,1,0,2,0,0,
1,Alfredo Despaigne,36,89,331,297,29,80,10,0,14,40,0,0,28,80,.269,.338,.444,.783,132,5,4,0,2,1,
2,Freddy Galvis#,32,38,130,111,11,19,2,0,2,11,0,1,15,29,.171,.285,.243,.528,27,2,3,0,1,0,
3,Yurisbel Gracial,36,99,386,347,24,94,13,2,7,30,1,3,33,75,.271,.339,.380,.720,132,8,4,0,2,1,
4,Nao Higashihama,32,23,4,3,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,1,0,0,
5,Kenta Imamiya,30,130,510,450,56,133,30,0,7,47,3,4,37,71,.296,.352,.409,.761,184,14,3,19,1,0,
6,Shuta Ishikawa,30,23,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,
7,Takuya Kai,29,130,405,323,25,58,9,1,1,27,1,3,38,85,.180,.275,.223,.498,72,9,5,38,1,0,
8,Jumpei Kawarada,20,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
9,Hikaru Kawase*,24,73,106,90,15,25,5,0,0,11,2,2,8,21,.278,.327,.333,.660,30,4,0,5,3,0,
10,Ryoya Kurihara*,25,5,20,17,3,6,1,0,2,5,0,0,3,1,.353,.450,.765,1.215,13,0,0,0,0,0,
11,Kenta Kurose,24,7,15,12,0,2,0,0,0,1,0,0,2,8,.167,.267,.167,.433,2,0,0,0,1,0,
12,Taisei Makihara*,29,120,441,409,45,123,18,4,6,42,13,4,16,71,.301,.331,.408,.739,167,5,4,9,3,0,
13,Yusuke Masago,28,29,29,28,3,2,0,0,0,0,0,0,0,10,.071,.071,.071,.143,2,0,0,1,0,0,
14,Tomoya Masaki,22,35,80,67,6,17,4,0,3,5,0,0,10,24,.254,.367,.448,.815,30,1,2,1,0,0,
15,Shu Masuda,23,15,45,39,4,10,3,1,1,6,0,1,3,6,.256,.302,.462,.764,18,0,0,2,1,0,
16,Nobuhiro Matsuda,39,43,106,98,2,20,2,1,0,7,1,0,6,20,.204,.255,.245,.500,24,1,1,0,1,0,
17,Yuki Matsumoto*,26,44,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
18,Masaki Mimori*,23,102,437,393,58,101,13,4,9,36,20,3,28,81,.257,.309,.379,.688,149,3,3,10,3,0,
19,Akira Nakamura*,32,114,435,379,34,96,12,2,7,51,2,3,45,48,.253,.334,.351,.685,133,7,2,7,2,2,
20,Masahiro Nakatani,29,16,30,28,3,6,2,0,1,4,2,0,0,11,.214,.233,.393,.626,11,1,1,0,1,0,
21,Daiju Nomura,21,31,75,70,5,16,5,1,0,8,0,0,3,18,.229,.270,.329,.599,23,2,1,1,0,0,
22,Isami Nomura,25,97,203,180,40,43,9,3,10,25,10,5,17,64,.239,.312,.489,.801,88,5,2,4,0,0,
23,Tomohisa Ohzeki*,24,21,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,
24,Colin Rea,31,23,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,
25,Naoki Satoh,23,48,35,31,8,4,1,1,1,2,0,0,3,17,.129,.206,.323,.529,10,0,0,1,0,0,
26,Kodai Senga*,29,22,3,2,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,0,0,0,0,1,0,
27,Ukyo Shuto,26,80,318,288,48,77,5,4,5,15,22,4,22,56,.267,.324,.365,.688,105,4,3,3,2,0,
28,Kazuki Sugiyama,24,10,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,
29,Richard Sunagawa,23,23,70,63,7,10,1,0,3,5,0,0,6,29,.159,.243,.318,.560,20,1,1,0,0,0,
30,Tomoki Takata*,32,18,13,13,4,3,0,1,0,3,1,0,0,4,.231,.231,.385,.615,5,0,0,0,0,0,
31,Kenta Tanigawara*,25,71,75,64,16,15,4,2,0,8,1,2,7,18,.234,.324,.359,.684,23,1,2,1,1,0,
32,Seiji Uebayashi*,26,33,100,93,13,28,5,1,1,12,2,0,3,19,.301,.337,.409,.745,38,1,2,2,0,0,
33,Takashi Umino,24,47,42,42,3,7,2,0,1,4,0,0,0,11,.167,.167,.286,.452,12,0,0,0,0,0,
34,Riku Watanabe*,21,20,36,33,6,9,1,0,3,9,0,0,3,15,.273,.333,.576,.909,19,0,0,0,0,0,
35,Tatsuru Yanagimachi*,25,107,364,321,21,89,14,4,0,32,3,5,38,79,.277,.357,.346,.703,111,7,2,3,0,0,
36,Yuki Yanagita*,33,117,491,437,63,120,18,1,24,79,2,3,43,106,.275,.344,.485,.829,212,6,6,0,5,6,
