,player,age,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls,notes
0,Ryo Akiyoshi,33,0,0,,13.50,2,,,0,0,0,2.0,4,3,3,1,0,0,1,0,0,0,10,2.000,18.0,4.5,0.0,4.5,,
1,Yugo Bandoh,26,3,3,.500,3.18,25,,,2,1,0,62.1,45,22,22,8,24,1,48,2,0,0,255,1.107,6.5,1.2,3.5,6.9,2.00,
2,Kouya Fujii,25,5,1,.833,1.12,55,,,0,0,3,56.1,18,9,7,4,27,3,81,1,0,1,218,0.799,2.9,0.6,4.3,12.9,3.00,
3,Nao Higashihama,32,10,6,.625,3.11,23,,,1,1,0,136.0,114,47,47,14,37,0,94,1,0,3,542,1.110,7.5,0.9,2.4,6.2,2.54,
4,Shuta Ishikawa,30,7,10,.412,3.37,23,,,1,1,0,136.1,122,57,51,9,57,1,106,8,0,0,585,1.313,8.1,0.6,3.8,7.0,1.86,
5,Keisuke Izumi,25,0,2,.000,3.72,30,,,0,0,0,29.0,24,12,12,3,9,0,25,1,0,1,116,1.138,7.4,0.9,2.8,7.8,2.78,
6,Hiroshi Kaino,25,2,0,1.000,2.52,27,,,0,0,0,25.0,19,7,7,0,14,1,27,0,0,0,106,1.320,6.8,0.0,5.0,9.7,1.93,
7,Shunsuke Kasaya*,25,0,0,,6.35,16,,,0,0,0,17.0,19,12,12,4,9,0,14,5,0,0,82,1.647,10.1,2.1,4.8,7.4,1.56,
8,Shinya Kayama*,32,0,0,,0.99,56,,,0,0,0,27.1,18,3,3,1,11,1,22,1,0,0,109,1.061,5.9,0.3,3.6,7.2,2.00,
9,Katsuki Matayoshi,31,3,3,.500,2.10,31,,,0,0,1,30.0,27,8,7,4,8,2,22,0,0,0,122,1.167,8.1,1.2,2.4,6.6,2.75,
10,Yuki Matsumoto,26,5,1,.833,2.66,44,,,0,0,0,50.2,40,15,15,6,14,1,60,1,0,1,206,1.066,7.1,1.1,2.5,10.7,4.29,
11,Liván Moinelo*,26,1,1,.500,1.03,53,,,0,0,24,52.2,22,10,6,2,20,1,87,2,0,2,202,0.797,3.8,0.3,3.4,14.9,4.35,
12,Yuito Mori,30,2,4,.333,2.62,29,,,0,0,6,34.1,30,13,10,4,12,0,27,1,0,0,141,1.223,7.9,1.0,3.1,7.1,2.25,
13,Ryota Nakamura,24,0,0,,33.75,2,,,0,0,0,2.2,11,10,10,1,3,0,1,1,0,0,22,5.250,37.1,3.4,10.1,3.4,0.33,
14,Shuto Ogata,23,1,0,1.000,5.56,9,,,0,0,0,11.1,14,7,7,2,6,0,11,0,0,1,54,1.765,11.1,1.6,4.8,8.7,1.83,
15,Koutaro Ohtake*,27,0,2,.000,6.43,2,,,0,0,0,7.0,10,6,5,1,2,0,5,1,0,2,35,1.714,12.9,1.3,2.6,6.4,2.50,
16,Tomohisa Ohzeki*,24,7,6,.538,2.93,21,,,2,2,0,101.1,88,37,33,8,28,0,70,4,1,1,409,1.145,7.8,0.7,2.5,6.2,2.50,
17,Masato Okumura,29,0,0,,0.90,4,,,0,0,0,10.0,5,1,1,1,1,0,7,0,0,2,34,0.600,4.5,0.9,0.9,6.3,7.00,
18,Colin Rea,31,5,6,.455,3.96,23,,,1,1,0,100.0,82,46,44,13,32,2,80,4,0,2,409,1.140,7.4,1.2,2.9,7.2,2.50,
19,Kodai Senga,29,11,6,.647,1.94,22,,,1,0,0,144.0,103,37,31,7,49,0,156,3,2,2,568,1.056,6.4,0.4,3.1,9.8,3.18,
20,Arata Shiino,26,0,0,,4.01,18,,,0,0,0,24.2,25,11,11,2,14,1,21,1,0,1,109,1.581,9.1,0.7,5.1,7.7,1.50,
21,Kazuki Sugiyama,24,1,3,.250,6.80,10,,,0,0,0,42.1,45,33,32,10,26,0,37,1,0,4,194,1.677,9.6,2.1,5.5,7.9,1.42,
22,Rei Takahashi,26,0,0,,13.50,4,,,0,0,0,3.1,5,5,5,0,4,0,2,0,0,0,19,2.700,13.5,0.0,10.8,5.4,0.50,
23,Shota Takeda,29,2,1,.667,2.57,10,,,0,0,0,28.0,25,8,8,2,15,0,34,3,0,0,126,1.429,8.0,0.6,4.8,10.9,2.27,
24,Seigi Tanaka,27,0,0,,0.00,5,,,0,0,0,5.0,2,0,0,0,0,0,6,0,0,0,16,0.400,3.6,0.0,0.0,10.8,,
25,Sota Tanoue,19,0,0,,2.45,2,,,0,0,0,7.1,4,2,2,0,6,0,2,0,0,0,31,1.364,4.9,0.0,7.4,2.5,0.33,
26,Fumimaru Taura*,22,0,0,,9.64,4,,,0,0,0,4.2,7,5,5,1,0,0,4,2,0,0,23,1.500,13.5,1.9,0.0,7.7,,
27,Yuki Tsumori,24,4,6,.400,2.91,51,,,0,0,1,46.1,36,17,15,4,24,1,51,2,0,0,193,1.295,7.0,0.8,4.7,9.9,2.13,
28,Tsuyoshi Wada*,41,7,4,.636,2.78,17,,,0,0,0,81.0,64,28,25,3,22,0,75,1,0,0,324,1.062,7.1,0.3,2.4,8.3,3.41,
