,player,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,TB,GIDP,HBP,SH,SF,IBB,notes
0,Arismendy Alcántara#,30,97,285,263,27,55,6,0,14,28,4,6,21,87,.209,.267,.392,.658,103,3,0,0,1,1,
1,Naoki Arizono,19,4,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,
2,Daiki Asama*,26,75,240,224,20,52,14,1,4,15,12,3,11,55,.232,.267,.357,.624,80,3,0,4,1,0,
3,Yudai Furukawa*,24,36,108,96,5,22,3,0,0,1,0,2,8,23,.229,.289,.260,.549,25,1,0,4,0,0,
4,Ryohei Hosokawa*,20,20,48,41,5,7,1,2,0,2,0,0,4,14,.171,.244,.293,.537,12,1,0,3,0,0,
5,Yuma Imagawa,25,94,309,273,34,62,12,1,10,39,4,4,19,70,.227,.290,.388,.679,106,6,7,6,4,2,
6,Kazunari Ishii*,28,102,328,296,30,70,12,6,6,32,8,7,20,64,.237,.284,.378,.663,112,2,1,8,3,0,
7,Ryo Ishikawa,26,23,52,45,3,7,0,0,0,3,0,0,2,7,.156,.192,.156,.347,7,1,0,5,0,0,
8,Ryota Isobata*,23,6,16,14,0,4,0,0,0,1,3,1,2,6,.286,.375,.286,.661,4,0,0,0,0,0,
9,Hiromi Itoh*,24,26,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,
10,Daigo Kamikawabata*,25,80,301,261,22,76,7,2,2,17,8,10,21,45,.291,.360,.356,.716,93,3,7,12,0,0,
11,Shoto Kataoka*,24,13,24,24,2,3,1,0,0,0,0,0,0,11,.125,.125,.167,.292,4,0,0,0,0,0,
12,Takayuki Katoh*,30,22,5,5,0,1,0,0,0,0,0,0,0,4,.200,.200,.200,.400,1,0,0,0,0,0,
13,Fumikazu Kimura,33,38,101,95,7,17,4,0,2,9,0,1,4,39,.179,.218,.284,.502,27,1,1,0,1,0,
14,Kotaro Kiyomiya*,23,129,461,406,52,89,25,3,18,55,4,5,45,113,.219,.305,.429,.734,174,6,6,2,2,2,
15,Takuya Kohri,24,26,63,56,2,7,1,0,2,6,1,1,4,16,.125,.197,.250,.447,14,0,1,2,0,0,
16,Kensuke Kondoh*,28,99,396,325,51,98,26,1,8,41,8,7,66,45,.302,.418,.462,.879,150,7,1,1,3,6,
17,Chusei Mannami,22,100,314,296,28,60,10,2,14,40,0,2,12,112,.203,.237,.392,.629,116,2,2,2,2,0,
18,Go Matsumoto,28,117,445,395,48,137,23,2,3,44,21,5,32,42,.347,.398,.438,.836,173,13,4,10,4,5,
19,Hokuto Miyata#,24,6,7,7,1,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,1,0,0,0,0,0,
20,Tatsuki Mizuno*,21,21,44,41,4,5,2,0,0,0,1,1,2,16,.122,.163,.171,.334,7,0,0,1,0,0,
21,Takuya Nakashima*,31,68,150,130,12,29,3,1,0,8,17,4,11,31,.223,.282,.262,.543,34,0,0,8,1,0,
22,Yuki Nomura,22,93,368,348,33,97,24,2,6,36,3,4,16,71,.279,.313,.411,.724,143,9,2,1,1,1,
23,Renato Núñez,28,63,180,167,10,29,7,1,4,12,1,0,9,61,.174,.228,.299,.527,50,1,3,0,1,1,
24,Uta Sakaguchi*,19,3,6,6,0,1,0,0,0,0,0,0,0,4,.167,.167,.167,.333,1,0,0,0,0,0,
25,Ryusei Satoh,25,37,106,96,5,11,2,0,1,4,0,0,7,23,.115,.175,.167,.342,16,1,0,3,0,0,
26,Yushi Shimizu,26,30,67,62,2,12,1,0,0,3,0,1,1,15,.194,.219,.210,.429,13,1,1,3,0,0,
27,Toshihiro Sugiura,30,16,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,
28,Kenshi Sugiya#,31,51,109,97,9,16,2,0,0,3,0,0,8,21,.165,.229,.186,.414,18,0,0,4,0,0,
29,Yuto Takahama,25,7,18,17,0,1,0,0,0,1,0,0,0,12,.059,.056,.059,.114,1,0,0,0,1,0,
30,Yua Tamiya*,22,14,21,18,1,2,1,0,0,0,0,0,1,4,.111,.158,.167,.325,3,0,0,2,0,0,
31,Kenta Uehara*,28,25,5,5,1,1,1,0,0,0,0,0,0,3,.200,.200,.400,.600,2,0,0,0,0,0,
32,Kyohei Ueno,21,12,31,27,2,2,1,0,0,0,0,0,2,9,.074,.138,.111,.249,3,0,0,2,0,0,
33,Yuki Umebayashi,24,22,51,48,2,5,1,0,0,3,0,0,1,19,.104,.122,.125,.247,6,0,0,2,0,0,
34,Shingo Usami*,29,81,237,215,22,55,10,0,5,24,0,0,12,42,.256,.296,.372,.668,80,0,1,7,2,0,
35,Naoyuki Uwasawa,28,23,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,1,0,0,
36,Po Jung Wang*,28,15,32,32,1,2,1,0,0,0,0,0,0,12,.063,.063,.094,.156,3,1,0,0,0,0,
37,Ryo Watanabe,27,21,64,60,11,14,4,2,0,2,0,0,3,17,.233,.281,.367,.648,22,1,1,0,0,0,
38,Ryota Yachi,31,78,167,153,11,41,9,0,1,12,0,1,8,24,.268,.309,.346,.655,53,3,1,5,0,0,
39,Kosei Yoshida,21,51,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
