,player,age,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls,notes
0,Suguru Fukuda*,25,0,0,,0.87,13,,,0,0,0,10.1,7,1,1,0,7,0,11,0,0,0,45,1.355,6.1,0.0,6.1,9.6,1.57,
1,Yuri Furukawa,26,0,1,.000,4.08,34,,,0,0,0,35.1,37,17,16,3,24,2,32,2,0,1,162,1.726,9.4,0.8,6.1,8.2,1.33,
2,Takehiro Hasegawa*,22,0,0,,0.00,2,,,0,0,0,2.0,2,0,0,0,1,0,2,0,0,0,9,1.500,9.0,0.0,4.5,9.0,2.00,
3,Mizuki Hori*,24,1,5,.167,5.82,41,,,0,0,5,34.0,41,23,22,4,16,0,34,3,0,0,160,1.676,10.9,1.1,4.2,9.0,2.13,
4,Kazutomo Iguchi,28,2,0,1.000,5.18,23,,,0,0,1,24.1,34,14,14,3,4,1,27,2,0,1,112,1.562,12.6,1.1,1.5,10.0,6.75,
5,Takahide Ikeda,27,1,3,.250,3.31,4,,,0,0,0,16.1,15,7,6,0,6,0,11,0,0,1,71,1.286,8.3,0.0,3.3,6.1,1.83,
6,Naoya Ishikawa,25,2,2,.500,3.94,36,,,0,0,6,32.0,26,14,14,1,13,1,37,1,0,3,135,1.219,7.3,0.3,3.7,10.4,2.85,
7,Hiromi Itoh,24,10,9,.526,2.95,26,,,2,2,1,155.2,140,60,51,5,49,0,112,5,0,5,653,1.214,8.1,0.3,2.8,6.5,2.29,
8,Ren Kakigi,22,0,0,,2.08,4,,,0,0,0,4.1,2,1,1,1,2,0,1,0,0,0,16,0.923,4.2,2.1,4.2,2.1,0.50,
9,Chihiro Kaneko,38,1,2,.333,4.85,3,,,0,0,0,13.0,15,7,7,0,1,0,11,0,0,0,54,1.231,10.4,0.0,0.7,7.6,11.00,
10,Takayuki Katoh*,30,8,7,.533,2.01,22,,,3,2,0,147.2,124,35,33,9,11,0,98,1,0,0,564,0.914,7.6,0.5,0.7,6.0,8.91,
11,Ryusei Kawano*,24,0,2,.000,4.41,21,,,0,0,1,34.2,36,24,17,3,11,0,25,3,0,3,150,1.356,9.3,0.8,2.9,6.5,2.27,
12,Ryuji Kitaura*,22,0,0,,2.35,11,,,0,0,1,7.2,10,2,2,0,5,0,6,0,0,0,38,1.957,11.7,0.0,5.9,7.0,1.20,
13,Koki Kitayama,23,3,5,.375,3.51,55,,,0,0,9,51.1,37,21,20,3,28,1,58,4,1,1,219,1.266,6.5,0.5,4.9,10.2,2.07,
14,Kyosuke Kuroyanagi,19,0,0,,0.00,1,,,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,1.000,9.0,0.0,0.0,0.0,,
15,Keito Matsuura*,18,0,1,.000,18.00,1,,,0,0,0,1.0,2,2,2,0,1,0,0,0,0,0,6,3.000,18.0,0.0,9.0,0.0,0.00,
16,Conner Menez*,27,1,0,1.000,1.08,15,,,0,0,0,25.0,14,5,3,1,13,0,28,1,0,1,97,1.080,5.0,0.4,4.7,10.1,2.15,
17,Naoki Miyanishi*,37,0,3,.000,5.66,24,,,0,0,1,20.2,20,13,13,1,11,1,14,1,0,1,91,1.500,8.7,0.4,4.8,6.1,1.27,
18,Daiki Mochizuki,24,0,0,,7.00,9,,,0,0,0,9.0,15,8,7,1,4,0,8,1,0,1,46,2.111,15.0,1.0,4.0,8.0,2.00,
19,Tsubasa Nabatame,27,0,1,.000,3.60,2,,,0,0,0,10.0,7,5,4,0,4,0,7,1,0,0,41,1.100,6.3,0.0,3.6,6.3,1.75,
20,Haruka Nemoto*,19,3,3,.500,2.52,13,,,0,0,0,60.2,52,19,17,8,24,0,53,4,0,1,254,1.253,7.7,1.2,3.6,7.9,2.21,
21,Takahiro Nishimura,29,0,0,,4.98,18,,,0,0,0,21.2,22,15,12,4,10,1,25,1,0,1,94,1.477,9.1,1.7,4.2,10.4,2.50,
22,Cody Ponce,28,3,5,.375,3.35,14,,,1,1,0,83.1,69,35,31,10,23,0,66,2,1,3,344,1.104,7.5,1.1,2.5,7.1,2.87,
23,Bryan Rodriguez,30,3,2,.600,2.20,22,,,0,0,0,16.1,14,5,4,0,3,1,13,1,0,0,66,1.041,7.7,0.0,1.7,7.2,4.33,
24,Toshihiro Sugiura,30,3,6,.333,5.27,16,,,0,0,0,42.2,45,25,25,5,10,0,48,2,0,3,184,1.289,9.5,1.1,2.1,10.1,4.80,
25,Kenya Suzuki,24,2,1,.667,2.84,19,,,0,0,0,38.0,33,12,12,2,13,2,25,4,0,1,159,1.211,7.8,0.5,3.1,5.9,1.92,
26,Taisho Tamai,30,1,1,.500,3.35,50,,,0,0,0,37.2,37,17,14,1,17,2,16,0,0,1,167,1.434,8.8,0.2,4.1,3.8,0.94,
