,player,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,TB,GIDP,HBP,SH,SF,IBB,notes
0,Ryoichi Adachi,34,65,243,206,19,54,7,1,1,18,3,0,26,46,.262,.349,.320,.669,66,3,2,8,1,0,
1,Shuhei Fukuda*,29,118,502,448,65,120,11,6,0,24,9,7,32,50,.268,.328,.319,.647,143,8,8,14,0,0,
2,Sho Fukunaga,22,5,8,8,0,1,0,0,0,0,0,0,0,2,.125,.125,.125,.250,1,0,0,0,0,0,
3,Torai Fushimi,32,76,235,205,16,47,12,1,3,21,2,1,8,42,.229,.274,.342,.616,70,7,5,16,1,0,
4,Kendai Gen,20,5,9,8,1,2,0,0,0,1,0,0,0,3,.250,.250,.250,.500,2,0,0,1,0,0,
5,Sho Gibo*,21,23,34,29,0,5,1,0,0,2,0,0,1,3,.172,.194,.207,.400,6,0,0,3,1,0,
6,Shunta Gotoh*,29,26,52,49,5,9,0,1,0,2,1,2,2,15,.184,.231,.225,.455,11,0,1,0,0,0,
7,Ryoma Ikeda,18,6,20,20,0,3,0,0,0,1,0,1,0,8,.150,.150,.150,.300,3,0,0,0,0,0,
8,Ryota Ishioka*,30,17,35,33,3,5,1,0,0,0,2,1,1,10,.152,.177,.182,.358,6,0,0,1,0,0,
9,Ryoto Kita*,19,10,27,23,2,3,0,0,0,0,0,1,3,8,.130,.231,.130,.361,3,0,0,1,0,0,
10,Kotaro Kurebayashi,20,130,494,450,35,101,20,2,6,32,2,2,26,71,.224,.275,.318,.593,143,14,6,10,2,1,
11,Masato Matsui*,34,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,
12,Joe McCarthy*,28,59,212,178,17,40,7,1,4,19,0,0,26,58,.225,.344,.343,.687,61,2,7,0,1,0,
13,Hiroya Miyagi*,20,24,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,
14,Yuma Mune*,26,130,537,469,55,127,23,1,5,43,4,5,45,81,.271,.341,.356,.697,167,11,8,9,6,2,
15,Keita Nakagawa,26,110,468,424,54,120,25,9,8,51,11,2,26,79,.283,.326,.441,.767,187,5,4,8,6,2,
16,Ryo Nishimura,26,16,47,45,0,6,5,1,0,6,0,0,1,12,.133,.152,.289,.441,13,0,0,1,0,0,
17,Masahiro Nishino*,31,43,130,114,10,33,5,1,0,8,0,0,8,13,.290,.339,.351,.690,40,4,1,6,1,0,
18,Tomoya Noguchi*,22,54,167,155,15,35,6,0,1,6,0,1,9,56,.226,.277,.284,.561,44,3,2,1,0,1,
19,Yuya Oda*,32,72,26,24,12,5,1,0,1,2,8,4,1,7,.208,.269,.375,.644,9,0,1,0,0,0,
20,Koji Ohshiro,29,57,110,90,9,22,4,0,2,6,2,0,12,25,.244,.333,.356,.689,32,2,0,8,0,0,
21,Seiichiro Ohshita,24,5,10,8,1,2,2,0,0,0,0,0,1,2,.250,.400,.500,.900,4,0,1,0,0,0,
22,Ryo Ohta,21,32,101,92,7,18,6,0,1,5,0,0,6,22,.196,.245,.294,.538,27,0,0,3,0,0,
23,Takahiro Okada*,34,36,95,87,1,13,4,0,1,10,0,0,7,28,.149,.211,.230,.440,20,1,0,0,1,0,
24,Rangel Ravelo,30,24,71,58,4,8,1,0,1,2,0,0,11,20,.138,.296,.207,.503,12,3,2,0,0,0,
25,Kodai Sano,25,78,118,107,12,24,6,0,2,9,5,5,4,29,.224,.252,.336,.589,36,0,0,7,0,0,
26,Yukikazu Sano*,23,2,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,
27,Yutaro Sugimoto,31,105,432,379,37,89,15,1,15,51,4,4,40,135,.235,.324,.398,.723,151,9,11,0,2,2,
28,Daiki Tajima*,25,20,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
29,Yuma Tongu,25,81,271,234,23,53,17,0,11,34,0,0,23,51,.227,.311,.440,.751,103,6,8,1,5,0,
30,Breyvic Valera#,30,37,127,112,7,23,5,0,1,6,0,1,13,11,.205,.294,.277,.571,31,3,1,1,0,0,
31,Jacob Waguespack,28,32,5,4,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,0,0,0,1,0,0,
32,Kenya Wakatsuki,26,68,193,171,16,48,7,0,4,14,3,1,9,34,.281,.326,.392,.718,67,5,3,9,1,0,
33,Haruto Watanabe*,22,16,19,17,0,1,0,0,0,2,1,1,1,7,.059,.111,.059,.170,1,0,0,1,0,0,
34,Tatsuya Yamaashi,28,39,51,44,8,8,1,0,1,2,1,0,3,11,.182,.234,.273,.507,12,1,0,4,0,0,
35,Yoshinobu Yamamoto,23,26,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
36,Taisuke Yamaoka*,26,22,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,
37,Sachiya Yamasaki*,29,25,7,7,0,1,0,0,0,0,0,0,0,0,.143,.143,.143,.286,1,0,0,0,0,0,
38,Masataka Yoshida*,28,119,508,412,56,138,28,1,21,88,4,0,80,41,.335,.447,.561,1.008,231,11,9,0,7,18,
