,player,age,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls,notes
0,Shota Abe,29,1,0,1.000,0.61,44,,,0,0,3,44.0,22,3,3,1,10,2,42,2,0,0,166,0.727,4.5,0.2,2.0,8.6,4.20,
1,Kohei Azuma,22,1,0,1.000,4.85,4,,,0,0,0,13.0,17,8,7,1,5,1,7,1,0,0,60,1.692,11.8,0.7,3.5,4.8,1.40,
2,Jesse Biddle*,30,4,5,.444,4.02,35,,,0,0,0,40.1,36,20,18,4,20,1,45,7,0,2,184,1.388,8.0,0.9,4.5,10.0,2.25,
3,Yaku Cho,28,0,0,,2.38,15,,,0,0,0,22.2,23,9,6,0,10,0,20,2,0,0,101,1.456,9.1,0.0,4.0,7.9,2.00,
4,Motoki Higa,39,5,0,1.000,2.53,30,,,0,0,1,21.1,20,7,6,1,2,0,24,2,0,0,85,1.031,8.4,0.4,0.8,10.1,12.00,
5,Yoshihisa Hirano,38,3,2,.600,1.57,48,,,0,0,28,46.0,25,8,8,3,12,0,42,2,0,1,175,0.804,4.9,0.6,2.3,8.2,3.50,
6,Hitomi Honda,22,2,3,.400,3.50,42,,,0,0,2,43.2,39,18,17,3,16,1,40,4,0,1,186,1.260,8.0,0.6,3.3,8.2,2.50,
7,Atsuya Kogita,23,0,0,,3.14,16,,,0,0,0,14.1,16,5,5,1,6,0,13,0,0,1,63,1.535,10.0,0.6,3.8,8.2,2.17,
8,Taisuke Kondoh,31,1,4,.200,2.10,32,,,0,0,2,30.0,25,7,7,3,7,1,27,1,0,1,121,1.067,7.5,0.9,2.1,8.1,3.86,
9,Yuta Kuroki,27,2,2,.500,2.36,27,,,0,0,1,26.2,20,8,7,3,9,0,21,0,0,2,106,1.088,6.8,1.0,3.0,7.1,2.33,
10,Hirotoshi Masui,38,0,2,.000,3.86,2,,,0,0,0,9.1,13,4,4,0,4,0,11,0,0,2,42,1.821,12.5,0.0,3.9,10.6,2.75,
11,Hiroya Miyagi*,20,11,8,.579,3.16,24,,,2,1,0,148.1,137,57,52,11,30,1,127,6,0,0,612,1.126,8.3,0.7,1.8,7.7,4.23,
12,Ren Mukunoki,22,2,1,.667,1.02,4,,,0,0,0,17.2,8,2,2,0,8,0,21,1,0,2,69,0.906,4.1,0.0,4.1,10.7,2.63,
13,Ryota Muranishi,25,1,1,.500,4.44,22,,,0,0,0,24.1,23,13,12,4,17,3,27,1,0,1,113,1.644,8.5,1.5,6.3,10.0,1.59,
14,Masaru Nakamura,30,0,1,.000,8.53,3,,,0,0,0,6.1,12,6,6,0,3,0,4,1,0,0,33,2.368,17.1,0.0,4.3,5.7,1.33,
15,Atsushi Nohmi*,43,0,0,,2.45,5,,,0,0,0,3.2,2,1,1,0,2,0,2,0,0,0,15,1.091,4.9,0.0,4.9,4.9,1.00,
16,Koki Saitoh*,25,0,0,,6.75,5,,,0,0,0,5.1,7,4,4,0,1,0,5,0,0,0,24,1.500,11.8,0.0,1.7,8.4,5.00,
17,Kohei Suzuki,28,0,1,.000,6.75,14,,,0,0,0,12.0,12,9,9,3,3,0,13,0,0,2,51,1.250,9.0,2.3,2.3,9.8,4.33,
18,Daiki Tajima*,25,9,3,.750,2.66,20,,,1,1,0,125.0,115,41,37,12,37,0,92,2,1,3,513,1.216,8.3,0.9,2.7,6.6,2.49,
19,Daichi Takeyasu,27,2,0,1.000,3.81,6,,,0,0,0,26.0,27,13,11,1,10,0,20,0,0,2,111,1.423,9.3,0.3,3.5,6.9,2.00,
20,Ryoga Tomiyama*,25,0,0,,11.05,8,,,0,0,0,7.1,10,9,9,3,3,0,7,0,0,0,38,1.773,12.3,3.7,3.7,8.6,2.33,
21,Yuki Udagawa,23,2,1,.667,0.81,19,,,0,0,0,22.1,10,2,2,1,12,2,32,0,0,0,87,0.985,4.0,0.4,4.8,12.9,2.67,
22,César Vargas,30,0,1,.000,6.59,8,,,0,0,0,13.2,18,11,10,1,8,0,11,0,0,0,66,1.902,11.9,0.7,5.3,7.2,1.38,
23,Jacob Waguespack,28,2,6,.250,2.97,32,,,0,0,5,72.2,63,28,24,4,29,0,81,4,0,1,309,1.266,7.8,0.5,3.6,10.0,2.79,
24,Nobuyoshi Yamada*,30,1,0,1.000,4.35,12,,,0,0,0,10.1,11,5,5,0,4,0,14,1,0,1,44,1.452,9.6,0.0,3.5,12.2,3.50,
25,Yoshinobu Yamamoto,23,15,5,.750,1.68,26,,,4,2,0,193.0,137,42,36,6,42,0,205,5,0,0,747,0.927,6.4,0.3,2.0,9.6,4.88,
26,Taisuke Yamaoka,26,6,8,.429,2.60,22,,,2,1,0,128.0,118,42,37,6,27,0,99,7,0,2,518,1.133,8.3,0.4,1.9,7.0,3.67,
27,Sachiya Yamasaki*,29,5,8,.385,3.45,24,,,0,0,0,114.2,112,58,44,13,27,0,91,6,0,4,475,1.212,8.8,1.0,2.1,7.1,3.37,
28,Soichiro Yamazaki,24,0,2,.000,3.00,15,,,0,0,1,36.0,30,15,12,2,10,1,29,1,0,0,145,1.111,7.5,0.5,2.5,7.3,2.90,
29,Ryo Yoshida,25,1,1,.500,8.10,6,,,0,0,0,3.1,5,3,3,1,1,0,3,0,0,0,15,1.800,13.5,2.7,2.7,8.1,3.00,
