,player,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,TB,GIDP,HBP,SH,SF,IBB,notes
0,Ginji Akaminai*,34,83,271,238,18,62,6,0,0,26,0,0,28,31,.261,.335,.286,.620,68,5,0,2,3,2,
1,Hideto Asamura,31,143,633,532,73,134,17,0,27,86,4,3,92,137,.252,.365,.436,.801,232,13,5,0,4,7,
2,Chris Gittens,28,21,74,62,4,15,2,0,0,8,0,0,11,25,.242,.365,.274,.639,17,0,1,0,0,0,
3,Takahisa Hayakawa*,23,19,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,0,0,0,0,0,0,
4,Kengo Horiuchi*,25,5,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,
5,Tsuyoshi Ishihara,23,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,
6,Yukiya Itoh,25,3,8,8,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,0,0,0,0,0,
7,Masaki Iwami,27,3,7,7,1,2,1,0,0,0,0,0,0,3,.286,.286,.429,.714,3,0,0,0,0,0,
8,Wataru Karashima*,31,17,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,
9,Keizo Kawashima,38,12,25,22,1,3,1,0,1,6,0,0,1,9,.136,.174,.318,.492,7,1,0,2,0,0,
10,Takayuki Kishi,37,22,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,
11,Hiroto Kobukata*,26,118,479,424,54,113,16,5,2,29,21,7,37,65,.267,.328,.342,.670,145,6,3,12,3,0,
12,Fumiya Kurokawa*,21,17,71,63,4,14,3,0,0,2,0,1,7,9,.222,.296,.270,.566,17,1,0,0,1,0,
13,José Marmolejos*,29,58,223,202,14,42,6,0,7,28,0,0,20,68,.208,.278,.342,.620,69,3,0,0,1,0,
14,Eigoro Mogi*,28,73,268,238,26,53,12,1,9,30,4,0,27,74,.223,.300,.395,.695,94,3,0,1,2,0,
15,Itsuki Murabayashi,24,47,17,16,9,3,0,0,0,0,0,2,1,5,.188,.235,.188,.423,3,0,0,0,0,0,
16,Atsuki Mutoh*,21,43,99,88,11,22,2,3,1,9,1,5,8,28,.250,.323,.375,.698,33,1,2,0,1,0,
17,Haruki Nishikawa*,30,108,451,372,58,81,17,4,7,37,19,8,68,103,.218,.342,.341,.683,127,2,3,6,2,0,
18,Takahiro Norimoto*,31,21,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,
19,Yuya Ogoh*,25,10,23,18,2,3,1,0,1,2,0,0,2,4,.167,.250,.389,.639,7,0,0,3,0,0,
20,Hikaru Ohta,25,71,182,145,10,31,4,0,3,18,1,0,21,46,.214,.325,.303,.629,44,3,3,13,0,1,
21,Takero Okajima*,32,53,199,182,20,39,8,3,3,25,2,1,10,27,.214,.264,.341,.605,62,6,3,2,2,1,
22,Louis Okoye,24,6,25,25,2,5,0,0,0,0,1,0,0,8,.200,.200,.200,.400,5,0,0,0,0,0,
23,Hiroaki Shimauchi*,32,142,613,541,59,161,36,3,14,77,5,3,63,82,.298,.373,.453,.826,245,16,4,2,3,1,
24,Ginjiro Sumitani,34,98,288,253,21,60,4,0,4,18,0,3,18,52,.237,.293,.300,.593,76,10,2,15,0,0,
25,Daichi Suzuki*,32,125,477,408,39,105,19,0,5,35,4,2,38,52,.257,.344,.341,.685,139,11,18,9,4,0,
26,Ryota Takinaka,27,15,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
27,Kazuki Tanaka#,27,77,70,63,10,9,3,0,1,5,6,3,6,25,.143,.229,.238,.467,15,4,1,0,0,0,
28,Masahiro Tanaka,33,25,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
29,Takaya Tanaka*,29,18,19,17,2,2,0,0,0,1,0,0,1,7,.118,.211,.118,.328,2,0,1,0,0,0,
30,Ryosuke Tatsumi*,25,120,476,409,60,111,14,3,11,35,12,5,42,103,.271,.354,.401,.755,164,7,11,13,1,1,
31,Yasuhito Uchida,27,8,14,10,0,1,0,0,0,2,0,0,2,4,.100,.231,.100,.331,1,0,0,1,1,0,
32,Ren Wada,26,11,30,29,0,2,0,0,0,1,0,0,0,10,.069,.067,.069,.136,2,1,0,0,1,0,
33,Yoshiaki Watanabe*,25,60,168,153,14,37,1,2,1,17,2,3,12,24,.242,.295,.294,.589,45,2,0,2,1,0,
34,Tsuyoshi Yamasaki*,26,79,218,187,19,38,6,5,3,13,15,4,17,46,.203,.280,.337,.617,63,3,3,11,0,0,
35,Yuma Yasuda*,22,5,12,10,2,2,0,0,1,1,0,0,2,4,.200,.333,.500,.833,5,1,0,0,0,0,
